:T
:T Lines.dat: Version compatible to FASTWIND data set CNOSiP
:T
:T NOTES: PARTICULARLY (i) IS EXTREMELY IMPORTANT !!!!
:T	  i. Oscillator strengths (column 5) are NOT fi, 
:T           but gij fj/Sum(gi), where Sum(gi) is the statistical weight 
:T           of the lower, PACKED level. 
:T           NO internal check is performed, i.e., if this is wrong, 
:T           then everything is wrong
:T	 ii. Last column is corresponding Sum(gi) (lower level), that
:T           has to be consistent with the atomic-data file; 
:T           NO internal check is performed, i.e., if this is wrong, 
:T           then everything is wrong
:T 	iii. Wavelengths are in air for lambda > 2000, otherwise in vaccuum
:T	 iv. Both damping constants (column 6, radiative, and column 9,
:T           collisional) are divided by 4pi 
:T        v. for "historical" reasons, column 7 and 8 are present, but 
:T           need to be 0. 
:T     In most cases,
:T	 vi.  Radiative lifetimes from VALD/NIST databases
:T	vii.  Collisional damping from VALD or according to Cowly (1971)
:T
:T
:T
:T initial Setup: Miguel A. Urbaneja
:T Last check and revision: 2019 by Giacomo Queirolo for Si, C, O; "old" was before
:T in almost all cases, we use NIST data for the osc. strengths
:T
:T JP: finally checked for Si, C, and O on April 8, 2019; 
:T except for typos, everything should be OK now; let's assume that N
:T was already OK
:V2
:T
:T *******************************************************************
:T			SILICION   SiII SiIII SiIV
:T ********************************************************************
:T
   CL   TY  RBB    2    7  RBB
:T 15
:T old SI206 SI211  1  4128.1     0.2337   1.62E8    0.    0.    2.68E-6  10.
:T old SI206 SI211  2  4130.9     0.3508   1.62E8    0.    0.    2.68E-6  10.
 SI206 SI211  1  4128.1     0.2286   1.62E8    0.    0.    2.68E-6  10.
: T one component
: T SI206 SI211  2  4130.9     0.3565   1.62E8    0.    0.    2.68E-6  10.
: T including 2nd component
 SI206 SI211  2  4130.9     0.3730   1.62E8    0.    0.    2.68E-6  10.
:T 12 {colllisional brodening available from VALD, comparison to Cowley OK}
:T old SI201 SI206  1  1260.422   0.3279   1.95E8    0.    0.    4.91E-7   6.
:T old SI201 SI206  2  1264.738   0.5968   1.95E8    0.    0.    4.91E-7   6.
:T old  SI201 SI206  3  1265.002   0.0654   1.95E8    0.    0.    4.91E-7   6.
 SI201 SI206  1  1260.422   0.4063   1.95E8    0.    0.    4.91E-7   6.
 SI201 SI206  2  1264.738   0.7259   1.95E8    0.    0.    4.91E-7   6.
 SI201 SI206  3  1265.002   0.0753   1.95E8    0.    0.    4.91E-7   6.
:T 12 {colllisional brodening available from VALD, comparison to Cowley OK}
:T old with typo in lamSI203 SI207  1  3956.018   0.0277   9.57E6    0.    0.    5.63E-7  10.
:T old SI203 SI207  2  3862.595   0.0152   9.57E6    0.    0.    5.63E-7  10.
:T old SI203 SI207  3  3853.665   3.0E-3   9.57E6    0.    0.    5.63E-7  10.
 SI203 SI207  1  3856.018   0.0393   9.57E6    0.    0.    5.63E-7  10.
 SI203 SI207  2  3862.595   0.0175   9.57E6    0.    0.    5.63E-7  10.
 SI203 SI207  3  3853.665   0.0046   9.57E6    0.    0.    5.63E-7  10.
:T 18 {colllisional brodening available from VALD, comparison to Cowley OK}
:T old SI204 SI207  1  6347.109   0.9908   9.79E7    0.    0.    7.25E-7   2.
:T old SI204 SI207  2  6371.371   0.4965   9.79E7    0.    0.    7.25E-7   2.
 SI204 SI207  1  6347.109   0.7046   9.79E7    0.    0.    7.25E-7   2.
 SI204 SI207  2  6371.371   0.4140   9.79E7    0.    0.    7.25E-7   2.
:T 19 {colllisional brodening available from VALD, comparison to Cowley OK}
:T old SI207 SI210  1  5041.024   0.3257   8.73E7    0.    0.    1.32E-6   6.
:T old SI207 SI210  2  5055.984   0.6529   8.73E7    0.    0.    1.32E-6   6.
:T old SI207 SI210  3  5056.317   0.0729   8.73E7    0.    0.    1.32E-6   6.
 SI207 SI210  1  5041.024   0.1782   8.73E7    0.    0.    1.32E-6   6.
 SI207 SI210  2  5055.984   0.5557   8.73E7    0.    0.    1.32E-6   6.
 SI207 SI210  3  5056.317   0.0537   8.73E7    0.    0.    1.32E-6   6.
:T 20 {colllisional brodening available from VALD, comparison to Cowley OK}
:T old SI207 SI209  1  5978.930   0.1682   5.26E7    0.    0     1.15E-6   6.
:T old SI207 SI209  2  5957.560   0.0833   5.26E7    0.    0     1.15E-6   6.
 SI207 SI209  1  5978.930   0.2022   5.26E7    0.    0     1.15E-6   6.
 SI207 SI209  2  5957.560   0.0993   5.26E7    0.    0     1.15E-6   6.
:T 
  0
   CL   TY  RBB    2    7  RBB
:T old SI302 SI306  1  1108.368   0.0995   0.23E9    0.    0.    0.31E-6   9.
:T old SI302 SI306  2  1113.204   0.0746   0.23E9    0.    0.    0.31E-6   9.
:T old SI302 SI306  3  1113.228   0.4175   0.23E9    0.    0.    0.31E-6   9.
 SI302 SI306  1  1108.368   0.0944   0.23E9    0.    0.    0.31E-6   9.
:T new component (consisting of two)
 SI302 SI306  4  1109.970   0.2828   0.23E9    0.    0.    0.31E-6   9.
 SI302 SI306  2  1113.204   0.0706   0.23E9    0.    0.    0.31E-6   9.
 SI302 SI306  3  1113.228   0.3951   0.23E9    0.    0.    0.31E-6   9.
:T
:T old SI301 SI303  1  1206.51    1.696    0.23E9    0.    0.    0.16E-6   1.
:T old SI303 SI310  1  1206.533   1.716    0.43E9    0.    0.    0.49E-6   3.
 SI301 SI303  1  1206.51    1.671    0.23E9    0.    0.    0.16E-6   1.
 SI303 SI310  1  1206.533   1.520    0.43E9    0.    0.    0.49E-6   3.
:T
:T old SI306 SI318  1  1500.241   0.4311   0.34E9    0.    0.    0.13E-5  15.
:T old SI306 SI318  2  1501.15    0.03736  0.34E9    0.    0.    0.13E-5  15.
:T old SI306 SI318  3  1501.191   0.2988   0.34E9    0.    0.    0.13E-5  15.
:T old SI306 SI318  4  1501.827   0.03736  0.34E9    0.    0.    0.13E-5  15.
:T old SI306 SI318  5  1501.78    0.0011   0.34E9    0.    0.    0.13E-5  15.
:T old SI306 SI318  6  1501.87    0.2021   0.34E9    0.    0.    0.13E-5  15.
 SI306 SI318  1  1500.241   0.4255   0.34E9    0.    0.    0.13E-5  15.
:T NIST value for osc. strength VERY different from old data (factor 10!)
 SI306 SI318  2  1501.15    0.4344   0.34E9    0.    0.    0.13E-5  15.
 SI306 SI318  3  1501.191   0.2937   0.34E9    0.    0.    0.13E-5  15.
 SI306 SI318  4  1501.827   0.0366   0.34E9    0.    0.    0.13E-5  15.
 SI306 SI318  5  1501.78    0.0010   0.34E9    0.    0.    0.13E-5  15.
 SI306 SI318  6  1501.87    0.1981   0.34E9    0.    0.    0.13E-5  15.

:T
